,file_name,tag
3612,dataset\hex_key\raw\raw_227.png,10
1954,dataset\lego_1x2\raw\raw_068.png,5
2839,dataset\usb_mini\raw\raw_256.png,7
1190,dataset\bolt\raw\raw_000.png,3
2874,dataset\usb_mini\raw\raw_244.png,7
1244,dataset\bolt\raw\raw_145.png,3
2205,dataset\lego_2x3\raw\raw_112.png,6
3635,dataset\hex_key\raw\raw_054.png,10
240,dataset\sphere\raw\raw_398.png,0
4234,dataset\mesh_pot\raw\raw_188.png,11
1572,dataset\spanner\raw\raw_494.png,4
2681,dataset\usb_mini\raw\raw_044.png,7
4264,dataset\mesh_pot\raw\raw_176.png,11
329,dataset\sphere\raw\raw_287.png,0
1763,dataset\spanner\raw\raw_200.png,4
550,dataset\cylinder\raw\raw_124.png,1
2936,dataset\usb_typec\raw\raw_286.png,8
1377,dataset\bolt\raw\raw_283.png,3
2660,dataset\usb_mini\raw\raw_305.png,7
2391,dataset\lego_2x3\raw\raw_023.png,6
4057,dataset\mesh_pot\raw\raw_339.png,11
528,dataset\cylinder\raw\raw_423.png,1
2644,dataset\usb_mini\raw\raw_350.png,7
3414,dataset\key\raw\raw_387.png,9
2546,dataset\usb_mini\raw\raw_133.png,7
2327,dataset\lego_2x3\raw\raw_090.png,6
1365,dataset\bolt\raw\raw_041.png,3
4240,dataset\mesh_pot\raw\raw_098.png,11
501,dataset\cylinder\raw\raw_170.png,1
465,dataset\cylinder\raw\raw_263.png,1
805,dataset\nut\raw\raw_326.png,2
1890,dataset\lego_1x2\raw\raw_000.png,5
3885,dataset\hex_key\raw\raw_118.png,10
2688,dataset\usb_mini\raw\raw_080.png,7
4262,dataset\mesh_pot\raw\raw_374.png,11
1711,dataset\spanner\raw\raw_384.png,4
1035,dataset\nut\raw\raw_142.png,2
1859,dataset\lego_1x2\raw\raw_182.png,5
3913,dataset\hex_key\raw\raw_178.png,10
3183,dataset\usb_typec\raw\raw_319.png,8
1446,dataset\spanner\raw\raw_472.png,4
1194,dataset\bolt\raw\raw_373.png,3
1007,dataset\nut\raw\raw_316.png,2
3245,dataset\key\raw\raw_026.png,9
563,dataset\cylinder\raw\raw_496.png,1
2403,dataset\lego_2x3\raw\raw_389.png,6
3986,dataset\mesh_pot\raw\raw_395.png,11
4132,dataset\mesh_pot\raw\raw_296.png,11
2351,dataset\lego_2x3\raw\raw_138.png,6
1372,dataset\bolt\raw\raw_121.png,3
593,dataset\cylinder\raw\raw_142.png,1
1582,dataset\spanner\raw\raw_029.png,4
2633,dataset\usb_mini\raw\raw_268.png,7
503,dataset\cylinder\raw\raw_262.png,1
3228,dataset\usb_typec\raw\raw_024.png,8
4056,dataset\mesh_pot\raw\raw_031.png,11
165,dataset\sphere\raw\raw_295.png,0
2617,dataset\usb_mini\raw\raw_110.png,7
2230,dataset\lego_2x3\raw\raw_334.png,6
1317,dataset\bolt\raw\raw_394.png,3
1593,dataset\spanner\raw\raw_045.png,4
1172,dataset\bolt\raw\raw_246.png,3
3715,dataset\hex_key\raw\raw_247.png,10
4305,dataset\mesh_pot\raw\raw_068.png,11
2940,dataset\usb_typec\raw\raw_279.png,8
2466,dataset\lego_2x3\raw\raw_116.png,6
2610,dataset\usb_mini\raw\raw_314.png,7
505,dataset\cylinder\raw\raw_051.png,1
2507,dataset\lego_2x3\raw\raw_244.png,6
2492,dataset\lego_2x3\raw\raw_246.png,6
2053,dataset\lego_1x2\raw\raw_336.png,5
2384,dataset\lego_2x3\raw\raw_078.png,6
2916,dataset\usb_typec\raw\raw_038.png,8
2541,dataset\usb_mini\raw\raw_186.png,7
1028,dataset\nut\raw\raw_463.png,2
565,dataset\cylinder\raw\raw_052.png,1
52,dataset\sphere\raw\raw_395.png,0
1973,dataset\lego_1x2\raw\raw_369.png,5
466,dataset\cylinder\raw\raw_347.png,1
931,dataset\nut\raw\raw_376.png,2
3383,dataset\key\raw\raw_345.png,9
3437,dataset\key\raw\raw_044.png,9
3598,dataset\key\raw\raw_107.png,9
1367,dataset\bolt\raw\raw_189.png,3
3568,dataset\key\raw\raw_212.png,9
925,dataset\nut\raw\raw_109.png,2
2800,dataset\usb_mini\raw\raw_119.png,7
2224,dataset\lego_2x3\raw\raw_217.png,6
2982,dataset\usb_typec\raw\raw_161.png,8
2050,dataset\lego_1x2\raw\raw_226.png,5
700,dataset\cylinder\raw\raw_213.png,1
120,dataset\sphere\raw\raw_400.png,0
1383,dataset\bolt\raw\raw_434.png,3
699,dataset\cylinder\raw\raw_017.png,1
1052,dataset\nut\raw\raw_085.png,2
4046,dataset\mesh_pot\raw\raw_064.png,11
836,dataset\nut\raw\raw_095.png,2
1811,dataset\lego_1x2\raw\raw_159.png,5
532,dataset\cylinder\raw\raw_273.png,1
1531,dataset\spanner\raw\raw_378.png,4
730,dataset\nut\raw\raw_099.png,2
1554,dataset\spanner\raw\raw_054.png,4
662,dataset\cylinder\raw\raw_308.png,1
4106,dataset\mesh_pot\raw\raw_099.png,11
1615,dataset\spanner\raw\raw_006.png,4
3756,dataset\hex_key\raw\raw_458.png,10
4006,dataset\mesh_pot\raw\raw_268.png,11
3827,dataset\hex_key\raw\raw_422.png,10
600,dataset\cylinder\raw\raw_161.png,1
30,dataset\sphere\raw\raw_387.png,0
989,dataset\nut\raw\raw_427.png,2
2065,dataset\lego_1x2\raw\raw_065.png,5
1021,dataset\nut\raw\raw_143.png,2
2026,dataset\lego_1x2\raw\raw_352.png,5
2804,dataset\usb_mini\raw\raw_056.png,7
1405,dataset\bolt\raw\raw_049.png,3
1325,dataset\bolt\raw\raw_414.png,3
2322,dataset\lego_2x3\raw\raw_291.png,6
2013,dataset\lego_1x2\raw\raw_100.png,5
3919,dataset\hex_key\raw\raw_135.png,10
2924,dataset\usb_typec\raw\raw_347.png,8
484,dataset\cylinder\raw\raw_055.png,1
311,dataset\sphere\raw\raw_318.png,0
4249,dataset\mesh_pot\raw\raw_089.png,11
1253,dataset\bolt\raw\raw_141.png,3
34,dataset\sphere\raw\raw_040.png,0
612,dataset\cylinder\raw\raw_335.png,1
1960,dataset\lego_1x2\raw\raw_246.png,5
2872,dataset\usb_mini\raw\raw_019.png,7
2228,dataset\lego_2x3\raw\raw_186.png,6
47,dataset\sphere\raw\raw_498.png,0
2442,dataset\lego_2x3\raw\raw_292.png,6
2824,dataset\usb_mini\raw\raw_060.png,7
328,dataset\sphere\raw\raw_448.png,0
1250,dataset\bolt\raw\raw_460.png,3
4171,dataset\mesh_pot\raw\raw_380.png,11
1630,dataset\spanner\raw\raw_483.png,4
350,dataset\sphere\raw\raw_341.png,0
2682,dataset\usb_mini\raw\raw_371.png,7
244,dataset\sphere\raw\raw_284.png,0
315,dataset\sphere\raw\raw_466.png,0
3883,dataset\hex_key\raw\raw_113.png,10
893,dataset\nut\raw\raw_188.png,2
1150,dataset\bolt\raw\raw_091.png,3
3703,dataset\hex_key\raw\raw_433.png,10
795,dataset\nut\raw\raw_332.png,2
3692,dataset\hex_key\raw\raw_253.png,10
4290,dataset\mesh_pot\raw\raw_020.png,11
3600,dataset\hex_key\raw\raw_024.png,10
2112,dataset\lego_1x2\raw\raw_064.png,5
2352,dataset\lego_2x3\raw\raw_226.png,6
3948,dataset\hex_key\raw\raw_084.png,10
87,dataset\sphere\raw\raw_422.png,0
3297,dataset\key\raw\raw_038.png,9
1117,dataset\bolt\raw\raw_311.png,3
1385,dataset\bolt\raw\raw_018.png,3
880,dataset\nut\raw\raw_430.png,2
24,dataset\sphere\raw\raw_027.png,0
3819,dataset\hex_key\raw\raw_213.png,10
18,dataset\sphere\raw\raw_368.png,0
1160,dataset\bolt\raw\raw_386.png,3
912,dataset\nut\raw\raw_266.png,2
1843,dataset\lego_1x2\raw\raw_104.png,5
3009,dataset\usb_typec\raw\raw_073.png,8
2444,dataset\lego_2x3\raw\raw_342.png,6
2177,dataset\lego_2x3\raw\raw_268.png,6
2969,dataset\usb_typec\raw\raw_148.png,8
2118,dataset\lego_1x2\raw\raw_004.png,5
4257,dataset\mesh_pot\raw\raw_373.png,11
2577,dataset\usb_mini\raw\raw_207.png,7
982,dataset\nut\raw\raw_472.png,2
774,dataset\nut\raw\raw_311.png,2
1123,dataset\bolt\raw\raw_153.png,3
4309,dataset\mesh_pot\raw\raw_391.png,11
2716,dataset\usb_mini\raw\raw_172.png,7
2831,dataset\usb_mini\raw\raw_279.png,7
850,dataset\nut\raw\raw_453.png,2
1609,dataset\spanner\raw\raw_227.png,4
40,dataset\sphere\raw\raw_199.png,0
1877,dataset\lego_1x2\raw\raw_400.png,5
3778,dataset\hex_key\raw\raw_469.png,10
387,dataset\cylinder\raw\raw_488.png,1
1627,dataset\spanner\raw\raw_268.png,4
2661,dataset\usb_mini\raw\raw_083.png,7
2389,dataset\lego_2x3\raw\raw_257.png,6
2503,dataset\lego_2x3\raw\raw_080.png,6
1121,dataset\bolt\raw\raw_433.png,3
753,dataset\nut\raw\raw_415.png,2
51,dataset\sphere\raw\raw_370.png,0
3517,dataset\key\raw\raw_319.png,9
1703,dataset\spanner\raw\raw_496.png,4
363,dataset\cylinder\raw\raw_188.png,1
1792,dataset\spanner\raw\raw_484.png,4
1767,dataset\spanner\raw\raw_182.png,4
1230,dataset\bolt\raw\raw_013.png,3
379,dataset\cylinder\raw\raw_082.png,1
3483,dataset\key\raw\raw_051.png,9
3884,dataset\hex_key\raw\raw_499.png,10
3666,dataset\hex_key\raw\raw_049.png,10
100,dataset\sphere\raw\raw_478.png,0
1507,dataset\spanner\raw\raw_199.png,4
752,dataset\nut\raw\raw_075.png,2
1663,dataset\spanner\raw\raw_450.png,4
1382,dataset\bolt\raw\raw_342.png,3
1057,dataset\nut\raw\raw_148.png,2
833,dataset\nut\raw\raw_191.png,2
580,dataset\cylinder\raw\raw_296.png,1
3542,dataset\key\raw\raw_405.png,9
2345,dataset\lego_2x3\raw\raw_391.png,6
2836,dataset\usb_mini\raw\raw_370.png,7
3180,dataset\usb_typec\raw\raw_371.png,8
2274,dataset\lego_2x3\raw\raw_034.png,6
1016,dataset\nut\raw\raw_125.png,2
3923,dataset\hex_key\raw\raw_265.png,10
916,dataset\nut\raw\raw_278.png,2
4040,dataset\mesh_pot\raw\raw_221.png,11
1423,dataset\bolt\raw\raw_291.png,3
2827,dataset\usb_mini\raw\raw_227.png,7
150,dataset\sphere\raw\raw_311.png,0
2976,dataset\usb_typec\raw\raw_300.png,8
828,dataset\nut\raw\raw_290.png,2
1884,dataset\lego_1x2\raw\raw_070.png,5
762,dataset\nut\raw\raw_113.png,2
3685,dataset\hex_key\raw\raw_130.png,10
1407,dataset\bolt\raw\raw_472.png,3
2435,dataset\lego_2x3\raw\raw_055.png,6
3220,dataset\usb_typec\raw\raw_026.png,8
3121,dataset\usb_typec\raw\raw_251.png,8
1754,dataset\spanner\raw\raw_007.png,4
971,dataset\nut\raw\raw_478.png,2
619,dataset\cylinder\raw\raw_456.png,1
2618,dataset\usb_mini\raw\raw_176.png,7
301,dataset\sphere\raw\raw_316.png,0
4131,dataset\mesh_pot\raw\raw_076.png,11
3084,dataset\usb_typec\raw\raw_225.png,8
4146,dataset\mesh_pot\raw\raw_082.png,11
4253,dataset\mesh_pot\raw\raw_167.png,11
3212,dataset\usb_typec\raw\raw_131.png,8
1816,dataset\lego_1x2\raw\raw_093.png,5
3878,dataset\hex_key\raw\raw_404.png,10
495,dataset\cylinder\raw\raw_441.png,1
3309,dataset\key\raw\raw_165.png,9
3436,dataset\key\raw\raw_193.png,9
2501,dataset\lego_2x3\raw\raw_211.png,6
960,dataset\nut\raw\raw_141.png,2
515,dataset\cylinder\raw\raw_167.png,1
3691,dataset\hex_key\raw\raw_380.png,10
3717,dataset\hex_key\raw\raw_203.png,10
3435,dataset\key\raw\raw_445.png,9
377,dataset\cylinder\raw\raw_493.png,1
1495,dataset\spanner\raw\raw_138.png,4
1183,dataset\bolt\raw\raw_275.png,3
3159,dataset\usb_typec\raw\raw_089.png,8
2342,dataset\lego_2x3\raw\raw_046.png,6
3402,dataset\key\raw\raw_171.png,9
2024,dataset\lego_1x2\raw\raw_229.png,5
1648,dataset\spanner\raw\raw_393.png,4
3771,dataset\hex_key\raw\raw_415.png,10
1143,dataset\bolt\raw\raw_046.png,3
2312,dataset\lego_2x3\raw\raw_319.png,6
3529,dataset\key\raw\raw_073.png,9
2335,dataset\lego_2x3\raw\raw_247.png,6
665,dataset\cylinder\raw\raw_310.png,1
995,dataset\nut\raw\raw_015.png,2
1170,dataset\bolt\raw\raw_028.png,3
638,dataset\cylinder\raw\raw_146.png,1
23,dataset\sphere\raw\raw_401.png,0
3625,dataset\hex_key\raw\raw_383.png,10
924,dataset\nut\raw\raw_377.png,2
334,dataset\sphere\raw\raw_444.png,0
1340,dataset\bolt\raw\raw_238.png,3
2589,dataset\usb_mini\raw\raw_355.png,7
899,dataset\nut\raw\raw_213.png,2
1304,dataset\bolt\raw\raw_162.png,3
2264,dataset\lego_2x3\raw\raw_363.png,6
2726,dataset\usb_mini\raw\raw_300.png,7
1427,dataset\bolt\raw\raw_304.png,3
1523,dataset\spanner\raw\raw_232.png,4
3234,dataset\usb_typec\raw\raw_005.png,8
1681,dataset\spanner\raw\raw_088.png,4
3134,dataset\usb_typec\raw\raw_370.png,8
2485,dataset\lego_2x3\raw\raw_235.png,6
1270,dataset\bolt\raw\raw_479.png,3
338,dataset\sphere\raw\raw_004.png,0
3351,dataset\key\raw\raw_286.png,9
3723,dataset\hex_key\raw\raw_399.png,10
768,dataset\nut\raw\raw_106.png,2
463,dataset\cylinder\raw\raw_475.png,1
1712,dataset\spanner\raw\raw_458.png,4
1637,dataset\spanner\raw\raw_202.png,4
1240,dataset\bolt\raw\raw_031.png,3
132,dataset\sphere\raw\raw_289.png,0
1308,dataset\bolt\raw\raw_225.png,3
2658,dataset\usb_mini\raw\raw_308.png,7
2130,dataset\lego_1x2\raw\raw_052.png,5
3952,dataset\hex_key\raw\raw_475.png,10
1594,dataset\spanner\raw\raw_299.png,4
1374,dataset\bolt\raw\raw_247.png,3
1360,dataset\bolt\raw\raw_098.png,3
2431,dataset\lego_2x3\raw\raw_126.png,6
3107,dataset\usb_typec\raw\raw_168.png,8
1280,dataset\bolt\raw\raw_407.png,3
3398,dataset\key\raw\raw_365.png,9
261,dataset\sphere\raw\raw_374.png,0
215,dataset\sphere\raw\raw_488.png,0
2968,dataset\usb_typec\raw\raw_292.png,8
1575,dataset\spanner\raw\raw_011.png,4
2043,dataset\lego_1x2\raw\raw_037.png,5
1831,dataset\lego_1x2\raw\raw_134.png,5
3176,dataset\usb_typec\raw\raw_249.png,8
1321,dataset\bolt\raw\raw_451.png,3
483,dataset\cylinder\raw\raw_118.png,1
1072,dataset\nut\raw\raw_306.png,2
2517,dataset\lego_2x3\raw\raw_164.png,6
3279,dataset\key\raw\raw_431.png,9
2665,dataset\usb_mini\raw\raw_329.png,7
3899,dataset\hex_key\raw\raw_429.png,10
245,dataset\sphere\raw\raw_260.png,0
3249,dataset\key\raw\raw_158.png,9
3427,dataset\key\raw\raw_199.png,9
3671,dataset\hex_key\raw\raw_097.png,10
2360,dataset\lego_2x3\raw\raw_309.png,6
1691,dataset\spanner\raw\raw_285.png,4
1132,dataset\bolt\raw\raw_383.png,3
3503,dataset\key\raw\raw_014.png,9
3922,dataset\hex_key\raw\raw_206.png,10
818,dataset\nut\raw\raw_036.png,2
936,dataset\nut\raw\raw_400.png,2
3230,dataset\usb_typec\raw\raw_214.png,8
1128,dataset\bolt\raw\raw_239.png,3
4195,dataset\mesh_pot\raw\raw_227.png,11
3118,dataset\usb_typec\raw\raw_293.png,8
1987,dataset\lego_1x2\raw\raw_288.png,5
2036,dataset\lego_1x2\raw\raw_346.png,5
3181,dataset\usb_typec\raw\raw_228.png,8
1291,dataset\bolt\raw\raw_310.png,3
4222,dataset\mesh_pot\raw\raw_187.png,11
1420,dataset\bolt\raw\raw_482.png,3
1286,dataset\bolt\raw\raw_475.png,3
1130,dataset\bolt\raw\raw_150.png,3
1278,dataset\bolt\raw\raw_319.png,3
2332,dataset\lego_2x3\raw\raw_000.png,6
3078,dataset\usb_typec\raw\raw_008.png,8
1846,dataset\lego_1x2\raw\raw_054.png,5
1743,dataset\spanner\raw\raw_015.png,4
2030,dataset\lego_1x2\raw\raw_377.png,5
2082,dataset\lego_1x2\raw\raw_358.png,5
2402,dataset\lego_2x3\raw\raw_321.png,6
2423,dataset\lego_2x3\raw\raw_300.png,6
1109,dataset\bolt\raw\raw_322.png,3
1460,dataset\spanner\raw\raw_123.png,4
4115,dataset\mesh_pot\raw\raw_370.png,11
3592,dataset\key\raw\raw_095.png,9
203,dataset\sphere\raw\raw_248.png,0
1819,dataset\lego_1x2\raw\raw_264.png,5
3743,dataset\hex_key\raw\raw_263.png,10
659,dataset\cylinder\raw\raw_153.png,1
695,dataset\cylinder\raw\raw_023.png,1
2889,dataset\usb_typec\raw\raw_365.png,8
3021,dataset\usb_typec\raw\raw_270.png,8
3832,dataset\hex_key\raw\raw_019.png,10
1718,dataset\spanner\raw\raw_397.png,4
691,dataset\cylinder\raw\raw_495.png,1
3355,dataset\key\raw\raw_054.png,9
814,dataset\nut\raw\raw_000.png,2
3259,dataset\key\raw\raw_208.png,9
4302,dataset\mesh_pot\raw\raw_306.png,11
3002,dataset\usb_typec\raw\raw_383.png,8
2837,dataset\usb_mini\raw\raw_255.png,7
3239,dataset\usb_typec\raw\raw_339.png,8
3275,dataset\key\raw\raw_333.png,9
1744,dataset\spanner\raw\raw_265.png,4
307,dataset\sphere\raw\raw_032.png,0
3559,dataset\key\raw\raw_398.png,9
2047,dataset\lego_1x2\raw\raw_034.png,5
605,dataset\cylinder\raw\raw_337.png,1
4089,dataset\mesh_pot\raw\raw_348.png,11
408,dataset\cylinder\raw\raw_368.png,1
1178,dataset\bolt\raw\raw_325.png,3
3610,dataset\hex_key\raw\raw_000.png,10
3824,dataset\hex_key\raw\raw_217.png,10
2066,dataset\lego_1x2\raw\raw_128.png,5
1167,dataset\bolt\raw\raw_194.png,3
371,dataset\cylinder\raw\raw_209.png,1
2288,dataset\lego_2x3\raw\raw_265.png,6
3489,dataset\key\raw\raw_029.png,9
2217,dataset\lego_2x3\raw\raw_094.png,6
41,dataset\sphere\raw\raw_453.png,0
516,dataset\cylinder\raw\raw_461.png,1
1120,dataset\bolt\raw\raw_409.png,3
3226,dataset\usb_typec\raw\raw_241.png,8
2563,dataset\usb_mini\raw\raw_236.png,7
749,dataset\nut\raw\raw_077.png,2
678,dataset\cylinder\raw\raw_353.png,1
3064,dataset\usb_typec\raw\raw_138.png,8
1684,dataset\spanner\raw\raw_353.png,4
1527,dataset\spanner\raw\raw_117.png,4
2302,dataset\lego_2x3\raw\raw_121.png,6
1925,dataset\lego_1x2\raw\raw_026.png,5
1790,dataset\spanner\raw\raw_132.png,4
4093,dataset\mesh_pot\raw\raw_349.png,11
3847,dataset\hex_key\raw\raw_042.png,10
2795,dataset\usb_mini\raw\raw_077.png,7
3614,dataset\hex_key\raw\raw_167.png,10
3222,dataset\usb_typec\raw\raw_212.png,8
2176,dataset\lego_2x3\raw\raw_259.png,6
2865,dataset\usb_mini\raw\raw_269.png,7
3438,dataset\key\raw\raw_093.png,9
689,dataset\cylinder\raw\raw_473.png,1
1351,dataset\bolt\raw\raw_387.png,3
885,dataset\nut\raw\raw_413.png,2
3799,dataset\hex_key\raw\raw_184.png,10
2110,dataset\lego_1x2\raw\raw_149.png,5
3551,dataset\key\raw\raw_375.png,9
1687,dataset\spanner\raw\raw_398.png,4
3984,dataset\mesh_pot\raw\raw_174.png,11
2605,dataset\usb_mini\raw\raw_345.png,7
4066,dataset\mesh_pot\raw\raw_066.png,11
1635,dataset\spanner\raw\raw_390.png,4
35,dataset\sphere\raw\raw_222.png,0
3974,dataset\mesh_pot\raw\raw_107.png,11
260,dataset\sphere\raw\raw_274.png,0
2330,dataset\lego_2x3\raw\raw_249.png,6
2588,dataset\usb_mini\raw\raw_132.png,7
1213,dataset\bolt\raw\raw_450.png,3
1444,dataset\spanner\raw\raw_219.png,4
766,dataset\nut\raw\raw_226.png,2
650,dataset\cylinder\raw\raw_451.png,1
1238,dataset\bolt\raw\raw_148.png,3
3177,dataset\usb_typec\raw\raw_092.png,8
530,dataset\cylinder\raw\raw_494.png,1
128,dataset\sphere\raw\raw_426.png,0
2849,dataset\usb_mini\raw\raw_313.png,7
2271,dataset\lego_2x3\raw\raw_283.png,6
1369,dataset\bolt\raw\raw_459.png,3
870,dataset\nut\raw\raw_033.png,2
1228,dataset\bolt\raw\raw_477.png,3
3846,dataset\hex_key\raw\raw_085.png,10
3350,dataset\key\raw\raw_077.png,9
1822,dataset\lego_1x2\raw\raw_245.png,5
4153,dataset\mesh_pot\raw\raw_251.png,11
1354,dataset\bolt\raw\raw_170.png,3
3580,dataset\key\raw\raw_021.png,9
2475,dataset\lego_2x3\raw\raw_104.png,6
1467,dataset\spanner\raw\raw_174.png,4
3070,dataset\usb_typec\raw\raw_098.png,8
1257,dataset\bolt\raw\raw_341.png,3
3954,dataset\hex_key\raw\raw_343.png,10
3197,dataset\usb_typec\raw\raw_289.png,8
3601,dataset\hex_key\raw\raw_289.png,10
1482,dataset\spanner\raw\raw_409.png,4
1949,dataset\lego_1x2\raw\raw_367.png,5
3916,dataset\hex_key\raw\raw_377.png,10
1050,dataset\nut\raw\raw_100.png,2
620,dataset\cylinder\raw\raw_472.png,1
1475,dataset\spanner\raw\raw_112.png,4
2830,dataset\usb_mini\raw\raw_333.png,7
217,dataset\sphere\raw\raw_329.png,0
3966,dataset\mesh_pot\raw\raw_013.png,11
3352,dataset\key\raw\raw_314.png,9
349,dataset\sphere\raw\raw_026.png,0
2406,dataset\lego_2x3\raw\raw_216.png,6
1608,dataset\spanner\raw\raw_031.png,4
524,dataset\cylinder\raw\raw_375.png,1
3442,dataset\key\raw\raw_301.png,9
1725,dataset\spanner\raw\raw_051.png,4
3555,dataset\key\raw\raw_080.png,9
1063,dataset\nut\raw\raw_484.png,2
2246,dataset\lego_2x3\raw\raw_143.png,6
735,dataset\nut\raw\raw_314.png,2
2063,dataset\lego_1x2\raw\raw_191.png,5
4286,dataset\mesh_pot\raw\raw_036.png,11
1008,dataset\nut\raw\raw_295.png,2
2101,dataset\lego_1x2\raw\raw_136.png,5
2787,dataset\usb_mini\raw\raw_339.png,7
2266,dataset\lego_2x3\raw\raw_188.png,6
2210,dataset\lego_2x3\raw\raw_345.png,6
1414,dataset\bolt\raw\raw_489.png,3
2446,dataset\lego_2x3\raw\raw_161.png,6
859,dataset\nut\raw\raw_449.png,2
888,dataset\nut\raw\raw_212.png,2
842,dataset\nut\raw\raw_243.png,2
531,dataset\cylinder\raw\raw_445.png,1
1898,dataset\lego_1x2\raw\raw_269.png,5
2708,dataset\usb_mini\raw\raw_029.png,7
380,dataset\cylinder\raw\raw_481.png,1
3522,dataset\key\raw\raw_202.png,9
3168,dataset\usb_typec\raw\raw_155.png,8
4203,dataset\mesh_pot\raw\raw_288.png,11
1348,dataset\bolt\raw\raw_483.png,3
1868,dataset\lego_1x2\raw\raw_193.png,5
596,dataset\cylinder\raw\raw_223.png,1
172,dataset\sphere\raw\raw_450.png,0
1697,dataset\spanner\raw\raw_136.png,4
2562,dataset\usb_mini\raw\raw_320.png,7
2042,dataset\lego_1x2\raw\raw_206.png,5
664,dataset\cylinder\raw\raw_454.png,1
4090,dataset\mesh_pot\raw\raw_045.png,11
1830,dataset\lego_1x2\raw\raw_142.png,5
789,dataset\nut\raw\raw_040.png,2
375,dataset\cylinder\raw\raw_031.png,1
194,dataset\sphere\raw\raw_440.png,0
2134,dataset\lego_1x2\raw\raw_099.png,5
2918,dataset\usb_typec\raw\raw_096.png,8
295,dataset\sphere\raw\raw_191.png,0
3906,dataset\hex_key\raw\raw_490.png,10
4204,dataset\mesh_pot\raw\raw_321.png,11
155,dataset\sphere\raw\raw_355.png,0
726,dataset\nut\raw\raw_029.png,2
3533,dataset\key\raw\raw_420.png,9
1417,dataset\bolt\raw\raw_458.png,3
